job_id,title
4626550,Адміністратор ресторану Argentina Grill
4027723,Водитель-курьер со своим авто (правый берег)
3972773,"Менеджер по работе с клиентами со знанием английского (проект ""Британия"")"
4596155,Монтажник
4572724,Junior Accountant
4013121,Оператор call-центра
3990763,Менеджер по персоналу
4389562,Менеджер по работе с аккаунтами (Facebook)
1179713,Продавец-консультант
4637204,Продавец-консультант (ТРЦ Respublika)
3290494,"Кладовщик, работник склада"
4637110,"Talent Acquisition Manager, IT Recruiter"
4382513,IT Project manager
1938322,Прораб отделочных работ
4252176,Менеджер-администратор в службу доставки цветов
3445918,Главный бухгалтер
4624852,"Паркувальник (казино, слоти)"
4535967,"HR-менеджер, HRBP"
4333850,Інженер технічного нагляду (котеджне будівництво)
3599846,"Водій таксі на авто компанії (Bolt, Uber, Uklon)"
4056156,Мастер маникюра и педикюра
3043907,Recruiter (HR)
4614253,Менеджер по продажам и работе с клиентами
4636931,Менеджер по продажам
4058299,Консультант медицинской лаборатории (входящая линия)
4613534,Service Delivery Manager
4636833,Customer support manager
4636789,Різноробочий на будівництво у Бучу
4254742,Водій на авто компанії
4636720,Продавець-консультант ювелірних виробів
4293430,"Менеджер по продажам (IT, Digital)"
4044656,"Продавець-консультант (ТЦ ""Блокбастер"")"
3070805,"Менеджер в інтернет-магазин, оператор call-центру"
3401140,Администратор презентаций
2153543,Курьер
4634039,Продавец-консультант
4395236,Логист-экономист железнодорожного департамента
4636619,Касир лінії роздачі страв
4438345,Оператор call-центра
4151513,Переводчик в dating-агентство
4546345,Бухгалтер
4585546,Оператор call-центра (техподдержка)
4636541,Скаут-менеджер
4586083,Мерчендайзер
4448863,Junior analyst
3595907,"Продавец-кассир, работник торгового зала (левый берег)"
4421388,Врач-координатор
4636333,Рабочий на завод
